,,ТИП,ПРОДУКТ,ПРОГРАММА,"Стоимость продукта

*только для продуктов с фиксированной стоимостью",ВАЛЮТА,ПОСТАВЩИК,% DS,Свойство,Срок Контракта,Год выплаты КВ,Баллы,МЕТОДИКА РАСЧЕТА БАЛЛОВ,Комментарии,Категория
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"2,80%",,15,4 год,,"Сумма оплаты клиента*курс валюты/100*0,028",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"2,00%",,15,5 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"29,50%",,10,1 год,,"Сумма оплаты клиента*курс валюты/100*0,295",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"4,75%",,10,2 год,,"Сумма оплаты клиента*курс валюты/100*0,0475",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"2,00%",,10,3 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"2,00%",,10,4 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"2,00%",,10,5 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"72,50%",,20,1 год,,"Сумма оплаты клиента*курс валюты/100*0,725",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"5,25%",,20,2 год,,"Сумма оплаты клиента*курс валюты/100*0,0525",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"5,25%",,20,3 год,,"Сумма оплаты клиента*курс валюты/100*0,0525",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"2,80%",,20,4 год,,"Сумма оплаты клиента*курс валюты/100*0,028",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"2,00%",,20,5 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"67,50%",,15,1 год,,"Сумма оплаты клиента*курс валюты/100*0,675",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"5,25%",,15,2 год,,"Сумма оплаты клиента*курс валюты/100*0,0525",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"5,25%",,15,3 год,,"Сумма оплаты клиента*курс валюты/100*0,0525",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"2,80%",,15,4 год,,"Сумма оплаты клиента*курс валюты/100*0,028",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"2,00%",,15,5 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"29,50%",,10,1 год,,"Сумма оплаты клиента*курс валюты/100*0,295",,Страховая оболочка
,,Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"4,75%",,10,2 год,,"Сумма оплаты клиента*курс валюты/100*0,0475",,
,,Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"2,00%",,10,3 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,
,,Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"2,00%",,10,4 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,
,,Регулярные взносы + страховая оболочка,Investor Trust MSCI Index,MSCI-X,,USD,ITA,"2,00%",,10,5 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,
"
",,Единовременные взносы + страховая оболочка,Investors Trust Access Portfolio,ACS5000,,USD,ITA,"6,00%",,,,,"Сумма оплаты клиента*курс валюты/100*0,06",,
"
",,Единовременные взносы + страховая оболочка,Investors Trust Access Portfolio,ACS8000,,USD,ITA,"6,00%",,,,,"Сумма оплаты клиента*курс валюты/100*0,06",,
"
",,Единовременные взносы + страховая оболочка,Investors Trust Platinum Select,PLATS,,USD,ITA,"6,00%",,,,,"Сумма оплаты клиента*курс валюты/100*0,06",,
,,Единовременные взносы + страховая оболочка,Investors Trust Platinum PLUS,PLATP,,USD,ITA,"0,75%",,,,,"Сумма оплаты клиента*курс валюты/100*0,0075",,
,,Единовременные взносы + страховая оболочка,Investors Trust Fixed Income,FIFR03,,USD,ITA,"2,25%",,,,,"Сумма оплаты клиента*курс валюты/100*0,0076",,
,,Регулярные взносы + страховая оболочка,Medlife,APS/APS+,,USD/EUR,1/SI SAVE INVEST LTD.,"9,14%",,15-20,2 год,,"Сумма оплаты клиента*курс валюты/100*0,0914",,
,,Регулярные взносы + страховая оболочка,Medlife,APS/APS+,,USD/EUR,1/SI SAVE INVEST LTD.,"6,70%",,15-20,3 год,,"Сумма оплаты клиента*курс валюты/100*0,067",,
,,Регулярные взносы + страховая оболочка,Medlife,APS/APS+,,USD/EUR,1/SI SAVE INVEST LTD.,"6,70%",,15-20,4 год,,"Сумма оплаты клиента*курс валюты/100*0,067",,
,,Регулярные взносы + страховая оболочка,Medlife,APS/APS+,,USD/EUR,1/SI SAVE INVEST LTD.,"6,70%",,15-20,5 год,,"Сумма оплаты клиента*курс валюты/100*0,067",,
,,Единовременные взносы + страховая оболочка,Medlife,EEVIP,,USD,1/SI SAVE INVEST LTD.,"2,51%",,,,,"Сумма оплаты клиента*курс валюты/100*0,0251",,
,,Единовременные взносы + страховая оболочка,Medlife,Е11,,USD,1/SI SAVE INVEST LTD.,"2,51%",,,,,"Сумма оплаты клиента*курс валюты/100*0,0251",,
,,Единовременные взносы + страховая оболочка,Medlife,APS-SP/APS-SP+,,USD,1/SI SAVE INVEST LTD.,"2,51%",,,,,"Сумма оплаты клиента*курс валюты/100*0,0251",,
,,Единовременные взносы + страховая оболочка,Medlife,PSO,,USD,1/SI SAVE INVEST LTD.,"2,51%",,,,,"Сумма оплаты клиента*курс валюты/100*0,0251",,
,,Единовременные взносы + страховая оболочка,Medlife,COI-SP,,USD,1/SI SAVE INVEST LTD.,"2,51%",,,,,"Сумма оплаты клиента*курс валюты/100*0,0251",,
,,Единовременные взносы + страховая оболочка,Medlife,EGP-SP/EGP-SP+,,USD,1/SI SAVE INVEST LTD.,"2,51%",,,,,"Сумма оплаты клиента*курс валюты/100*0,0251",,
,,Брокерский счет,БРОКЕР+,Консервативный,,RUB,БРОКЕР+,,MF,,,,,DS получает 50% от суммы комиссионных уплаченных инвестиционными компаниями за операции с активами клинтов. Точные данные известины только полсе получения отчетности. ,Портфельное управление
,,Брокерский счет,БРОКЕР+,Умеренный,,RUB,БРОКЕР+,,MF,,,,,,Портфельное управление
,,Брокерский счет,БРОКЕР+,Агрессивный,,RUB,БРОКЕР+,,MF,,,,,,Портфельное управление
,,Брокерский счет,БРОКЕР+,ПИФ БКС Российские Акции,,RUB,БРОКЕР+,,MF,,,,,,Портфельное управление
,,Брокерский счет,БРОКЕР+,ПИФ БКС Российские облигации,,RUB,БРОКЕР+,,MF,,,,,,Портфельное управление
